username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
live_rates_com,False,607,Real-Time Rates: #EURUSD: 1.22903 | #USDJPY: 103.036 | #GBPUSD: 1.36025 | #USDCHF: 0.88274 | #BTCUSD: 27830.03 - Visit https://t.co/Wit623N8Fn,2020-12-30 14:00:13+00:00,Argentina,0,0,0,https://twitter.com/live_rates_com/status/1344282146161258498,"['EURUSD', 'USDJPY', 'GBPUSD', 'USDCHF', 'BTCUSD']"
SNTfx,False,847,#bitcoin and #Ethereum is moving to next level... this time is the real big move... no #fomo is good,2020-12-06 12:03:40+00:00,Mauritius,1,0,1,https://twitter.com/SNTfx/status/1335555503095689217,"['bitcoin', 'Ethereum', 'fomo']"
davibala10,False,184,Bitcoin is through the roof wtf is going on ? 😊,2020-12-17 16:08:19+00:00,United States,0,0,0,https://twitter.com/davibala10/status/1339603338460065793,[]
tesla21001,False,6,Bullish BTC. #Bitcoin   Loading up! https://t.co/WYPM8e8c0Y,2020-12-30 23:56:19+00:00,Argentina,0,0,0,https://twitter.com/tesla21001/status/1344432159541628928,['Bitcoin']
WiseAnalyze,False,28917,"Buying $DOT pullback for profit in January.

#DOT #Polkadot #Bitcoin #BTC $BTC https://t.co/gDk5m0fDPB",2020-12-30 23:46:29+00:00,Argentina,0,1,11,https://twitter.com/WiseAnalyze/status/1344429685200080896,"['DOT', 'Polkadot', 'Bitcoin', 'BTC']"
satoshistan,False,299,"#bitcoin waiting for target 2

#btcusd #btcusdt #xbtusd $xbt $btc #btc https://t.co/54qTfDAk1v",2020-12-30 18:30:03+00:00,Argentina,1,0,0,https://twitter.com/satoshistan/status/1344350049501904896,"['bitcoin', 'btcusd', 'btcusdt', 'xbtusd', 'btc']"
AlbinCAUDERLIER,False,1394,"Regarding @Frances_Coppola today, making a fool of herself, I think she just refuses to learn.

""If you don't believe me or don't get it, I don't have time to try to convince you, sorry"" - Satoshi Nakamoto

=&gt; Instead of wasting bitcoiners times, just Do Your Own Researchs.",2020-12-30 03:09:53+00:00,Argentina,0,0,0,https://twitter.com/AlbinCAUDERLIER/status/1344118483748065280,[]
LikeDenver,False,2199,I just hope all y’all have brought some Bitcoin on coinbase. My 2017 purchase has been the best yet.,2020-12-18 03:38:42+00:00,Trinidad and Tobago,0,0,0,https://twitter.com/LikeDenver/status/1339777080154796032,[]
CoinflipperA,False,885,"@BigCheds @PeterSchiff this is funny, as long as Satoshi Nakamoto does not reveal himself. 😉",2020-12-29 20:05:31+00:00,Argentina,1,0,1,https://twitter.com/CoinflipperA/status/1344011687901483011,[]
KevinSt58399754,False,156,@jochem48311501 @CoinPaymentsNET @Tronfoundation @DigiByteCoin @Bitcoin @litecoin It def would be a shitpoll if VeChain was on it....🤣,2020-05-22 02:23:43+00:00,Mexico,1,0,0,https://twitter.com/KevinSt58399754/status/1263656760105107463,[]
stevewalker36,False,3849,"#bitcoin $btcusd #btcusd 
parabolic move up might have one more extended leg. 
bearish with it https://t.co/h9uOYmepzg",2020-12-30 14:15:10+00:00,Argentina,4,0,10,https://twitter.com/stevewalker36/status/1344285907285909507,"['bitcoin', 'btcusd']"
Cooney2Lit,False,363,Bitcoin is taking off right now it’s up 15% for the day already,2020-12-17 11:51:07+00:00,United States,1,0,1,https://twitter.com/Cooney2Lit/status/1339538613428740097,[]
DOTPoLkADotCOM,False,445,@cryptocharity5 Satoshi Nakamoto isn’t a person.  One of the group were from USA yet we have two USA guys saying they are Satoshi.  Both are lying.  One is even in court lying. He can’t even use the bitcoin wallet he’s been challenged to use. I can.,2020-11-21 02:36:42+00:00,Israel,0,0,1,https://twitter.com/DOTPoLkADotCOM/status/1329977005421469696,[]
